Attaching 4 probes...
Timestamp;Operation;ByteSize;Command;PID
2023-06-15 22:54:54;WRITE;8;gmain;1068;
2023-06-15 22:54:54;READ;4096;gmain;1068;
2023-06-15 22:54:54;WRITE;8;gmain;1068;
2023-06-15 22:54:54;WRITE;8;gmain;1068;
2023-06-15 22:54:54;READ;16;gmain;1068;
2023-06-15 22:54:54;READ;4096;redis-server;1691;
2023-06-15 22:54:54;READ;1;redis-server;1691;
2023-06-15 22:54:54;READ;8191;thermald;1109;
2023-06-15 22:54:54;READ;8191;thermald;1109;
2023-06-15 22:54:54;READ;8191;thermald;1109;
2023-06-15 22:54:54;READ;4096;redis-server;1691;
2023-06-15 22:54:54;READ;1;redis-server;1691;
2023-06-15 22:54:54;READ;8;systemd;1;
2023-06-15 22:54:54;READ;8;systemd-journal;507;
2023-06-15 22:54:54;READ;4096;redis-server;1691;
2023-06-15 22:54:54;READ;1;redis-server;1691;
2023-06-15 22:54:54;READ;4096;redis-server;1691;
2023-06-15 22:54:54;READ;1;redis-server;1691;
2023-06-15 22:54:54;WRITE;8;pool-goa-daemon;1320238;
2023-06-15 22:54:54;READ;16;goa-daemon;1320238;
2023-06-15 22:54:54;READ;32768;bash;2507697;
2023-06-15 22:54:54;READ;24576;bash;2507697;
2023-06-15 22:54:54;READ;128;bash;2507697;
2023-06-15 22:54:54;READ;832;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;832;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;832;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;832;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;832;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;832;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;99;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
2023-06-15 22:54:54;READ;1024;nvidia-smi;2507715;
